HGNC approved symbol,HGNC approved name,Function,Modification,Target entity,Product,,,,,,,,,,,
YY1,YY1 transcription factor,Chromatin remodeling cofactor, TF,TF repressor,DNA motif,#,,,,,,,,,,
ZBTB16,zinc finger and BTB domain containing 16,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
ZBTB33,zinc finger and BTB domain containing 33,Histone modification write cofactor, Histone modification erase cofactor, TF,Histone acetylation, Histone methylation, TF repressor,CG, mCG, DNA motif,#,,,,,
ZBTB7C,zinc finger and BTB domain containing 7C,Histone modification cofactor,#,#,#,,,,,,,,,,,
ZCWPW1,zinc finger, CW type with PWWP domain 1,Histone modification read,#,H3K4me,#,,,,,,,,,,
ZFP57,ZFP57 zinc finger protein,TF,TF repressor,mC, DNA motif,#,,,,,,,,,,
ZGPAT,zinc finger, CCCH-type with G patch domain,TF,TF repressor,DNA motif,#,,,,,,,,,,
ZHX1,zinc fingers and homeoboxes 1,Chromatin remodeling, Histone modification write cofactor,Histone acetylation, Histone methylation,#,#,,,,,,,,,
ZMYM2,zinc finger, MYM-type 2,Histone modification erase cofactor, TF,Histone acetylation,DNA motif,#,,,,,,,,,
ZMYM3,zinc finger, MYM-type 3,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
ZMYND11,zinc finger, MYND-type containing 11,Histone modification read,Histone methylation,H3.3K36me3,#,,,,,,,,,,
ZMYND8,zinc finger, MYND-type containing 8,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
ZNF217,zinc finger protein 217,Histone modification erase cofactor, TF,Histone acetylation, TF repressor,#,#,,,,,,,,,
ZNF516,zinc finger protein 516,Histone modification erase cofactor, TF,Histone acetylation, TF repressor,#,#,,,,,,,,,
ZNF532,zinc finger protein 532,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
ZNF541,zinc finger protein 541,Chromatin remodeling,#,#,#,,,,,,,,,,,
ZNF592,zinc finger protein 592,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
ZNF687,zinc finger protein 687,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
ZNF711,zinc finger protein 711,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
ZNHIT1,zinc finger, HIT-type containing 1,Chromatin remodeling cofactor, Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,
ZRANB3,zinc finger, RAN-binding domain containing 3,Chromatin remodeling, Histone modification read cofactor,Histone methylation,#,#,,,,,,,,,
ZZZ3,zinc finger, ZZ-type containing 3,Histone modification read,#,#,#,,,,,,,,,,
SOX17,,,,,,,,,,,,,,,,
CST6,,,,,,,,,,,,,,,,
BRMS1,,,,,,,,,,,,,,,,
ESR1,,,,,,,,,,,,,,,,
ITIH5,,,,,,,,,,,,,,,,
RASSF1A,,,,,,,,,,,,,,,,
NANOG,,,,,,,,,,,,,,,,
SOX2,,,,,,,,,,,,,,,,
SIN3A,,,,,,,,,,,,,,,,
RARβ,,,,,,,,,,,,,,,,
RASSF1A,,,,,,,,,,,,,,,,
ALU247,,,,,,,,,,,,,,,,
FHIT,,,,,,,,,,,,,,,,
APC,,,,,,,,,,,,,,,,
RARβ,,,,,,,,,,,,,,,,
HYAL2,,,,,,,,,,,,,,,,
SFN,,,,,,,,,,,,,,,,
P16,,,,,,,,,,,,,,,,
hMLH1,,,,,,,,,,,,,,,,
HOXD13,,,,,,,,,,,,,,,,
PCDHGB7,,,,,,,,,,,,,,,,
RASSF1A,,,,,,,,,,,,,,,,
APC,,,,,,,,,,,,,,,,
FOXA1,,,,,,,,,,,,,,,,
RASSF1A,,,,,,,,,,,,,,,,
ESR1,,,,,,,,,,,,,,,,
KEAP1,,,,,,,,,,,,,,,,
RASSF1,,,,,,,,,,,,,,,,
BRCA1,,,,,,,,,,,,,,,,
PITX2,,,,,,,,,,,,,,,,
CDH1,,,,,,,,,,,,,,,,
RARβ,,,,,,,,,,,,,,,,
PGR,,,,,,,,,,,,,,,,
PCDH10,,,,,,,,,,,,,,,,
GSTP1,,,,,,,,,,,,,,,,
RASSF1,,,,,,,,,,,,,,,,
RARβ,,,,,,,,,,,,,,,,
